979,494,42,42,-2,0,0,0
1029,494,42,42,-2,0,0,0
1079,494,42,42,-2,0,0,0
1200,494,42,42,-2,0,0,0
1250,494,42,42,-2,0,0,0
1300,494,42,42,-2,0,0,0
1766,494,42,42,-2,0,0,0
1816,494,42,42,-2,0,0,0
2907,494,42,42,-2,0,0,0
2957,494,42,42,-2,0,0,0
3007,494,42,42,-2,0,0,0
4552,494,42,42,-2,0,0,0
4602,494,42,42,-2,0,0,0
4652,494,42,42,-2,0,0,0
5180,494,42,42,-2,0,0,0
5230,494,42,42,-2,0,0,0
5280,494,42,42,-2,0,0,0
5430,494,42,42,-2,0,0,0
5480,494,42,42,-2,0,0,0
5530,494,42,42,-2,0,0,0
6716,494,42,42,-2,0,0,0
6666,494,42,42,-2,0,0,0
6616,494,42,42,-2,0,0,0
6183,494,42,42,-2,0,0,0
8610,494,42,42,-2,0,0,0
8660,494,42,42,-2,0,0,0
9813,494,42,42,-2,0,0,0
9750,494,42,42,-2,0,0,0
10781,494,42,42,-2,0,0,0
10831,494,42,42,-2,0,0,0
11000,494,42,42,-2,0,0,0
14146,494,42,42,-2,0,0,0
14196,494,42,42,-2,0,0,0
14246,494,42,42,-2,0,0,0
14296,494,42,42,-2,0,0,0
