1467,364,86,164
1884,536,40,63
1969,540,40,63
2052,540,84,63
2178,540,84,63
2304,540,84,63
2429,540,84,63
3183,365,84,168
3434,409,84,126
3937,366,84,168
4355,364,84,168
4817,452,84,84
5862,409,82,126
6405,364,42,170
6825,364,42,170
7035,540,42,63
7118,540,42,63
7201,540,84,63
7327,540,42,63
7411,540,84,63
7536,540,84,63
8205,540,42,63
8290,540,42,63
8373,540,42,63
8457,540,42,63
8792,449,42,86
9211,540,42,64
9504,540,42,64
9880,540,42,64
9966,409,84,326
10132,366,84,366
10298,322,86,310
11514,492,42,42
11555,450,42,42
11597,408,42,42
11639,365,42,42
11681,322,42,42
11722,278,42,258
12269,540,82,64
12475,540,42,64
12686,443,42,84
12475,540,42,64
12853,443,42,84
13104,540,42,64
13356,540,42,64
13565,540,42,64
14403,409,82,126
14863,450,84,84
15072,449,42,200
15156,364,42,300
15239,277,42,400
15321,194,84,500
15742,493,42,42
