1517,201,42,42
1559,201,42,42
1601,201,42,42
1643,201,42,42
2303,201,42,42
2345,243,42,42
2387,201,42,42
2429,243,42,42
2471,201,42,42
3012,201,42,42
3054,159,42,42
3096,159,42,42
3138,201,42,42
4089,201,42,42
4131,201,42,42
4173,201,42,42
4570,201,42,42
4612,201,42,42
4654,201,42,42
5580,201,42,42
5622,201,42,42
5664,201,42,42
5706,201,42,42
5748,201,42,42
5790,201,42,42
6270,345,42,42
6312,345,42,42
6354,345,42,42
6396,345,42,42
7280,201,42,42
7322,201,42,42
7364,201,42,42
7406,201,42,42
7448,201,42,42
7490,201,42,42
