1202,450,85,85
1630,410,85,130
1973,366,85,170
2443,365,85,175
5744,493,42,42
5786,450,42,42
5829,408,42,42
5872,363,45,170
6001,365,45,170
6044,405,42,42
6087,450,42,42
6129,493,42,42
6345,492,42,42
6386,450,42,42
6430,408,42,42
6473,365,42,42
6645,365,42,42
6687,408,42,42
6730,450,42,42
6773,492,42,42
6988,451,83,83
7671,452,85,85
7758,493,42,42
7801,450,42,42
7844,408,42,42
7886,364,42,42
7929,322,42,42
7971,279,42,42
8015,236,42,42
8060,192,84,42
8103,235,42,299
8486,493,42,42
6513,365,45,170
6644,367,42,165
2913,540,45,65
3642,540,42,165
3817,540,45,65
3043,540,45,65
