842,379,42,42,0,0
926,379,42,42,0,0
1008,379,42,42,0,0
3280,379,42,42,0,0
3363,379,42,42,0,0
3406,219,42,42,0,0
3448,219,42,42,0,0
3490,219,42,42,0,0
3532,219,42,42,0,0
3574,219,42,42,0,0
3616,219,42,42,0,0
3658,219,42,42,0,0
3700,219,42,42,0,0
3742,219,42,42,0,0
3909,219,42,42,0,0
3951,219,42,42,0,0
3993,219,42,42,0,0
4035,379,42,42,0,0
4306,379,42,42,0,0
4348,379,42,42,0,0
5056,379,42,42,0,0
5200,219,42,42,0,0
5242,219,42,42,0,0
5284,219,42,42,0,0
5511,219,42,42,0,0
5637,219,42,42,0,0
5553,379,42,42,0,0
5595,379,42,42,0,0
7189,379,42,42,0,0
7231,379,42,42,0,0
7315,379,42,42,0,0
